Pytanie;Poprawna_odpowiedz;Wyjaśnienie
"Jeśli nie ma punktów na koniec walki w meczach drużynowych, Sędzia Prowadzący wezwie do HANTEI.";0;"12.2.5 Indywidualne walki nie mogą być uznane za remis, z wyjątkiem zawodów drużynowych lub zawodów Round- Robin, kiedy walka kończy się równymi punktami lub brakiem punktów i żaden z Zawodników nie uzyskał SENSHU, w którym to przypadku Sędzia Prowadzący ogłosi remis (HIKIWAKE)."
"Nadmierny kontakt, przy powtarzającym się niepowodzeniu bloku jest podstawą do rozważenia MUBOBI.";1;"10.4.14 Samo narażanie się: Ostrzeżenie lub kara za MUBOBI jest przyznawana, gdy Zawodnik jest uderzony lub kontuzjowany z własnej winy lub zaniedbania. Może to być spowodowane odwróceniem się plecami do przeciwnika, atakiem bez uwzględniania kontrataku przeciwnika, przerwaniem walki zanim Sędzia Prowadzący zawoła „YAME”, opuszczeniem gardy lub powtarzającym się niepowodzeniem lub odmową blokowania ataków przeciwnika."
"Zawodnik może być ukarany za wyolbrzymianie, nawet jeśli występuje kontuzja.";1;"10.4.4 Nadmierna reakcja na kontakt: Lekka nadmierna reakcja spowoduje przyznanie CHUI. Za oczywiste wyolbrzymianie będzie przyznane HANSOKU CHUI. Poważniejsze wyolbrzymianie, takie jak zataczanie się, upadek na podłogę, wstawanie i ponowne upadanie itd. może powodować otrzymanie HANSOKU bezpośrednio"
"SP ogłasza zwycięzcę „AO (AKA) NO KACHI” oraz jeśli konieczne, rozstrzyga remis w przypadku HANTEI.";1;"15.3.1 Uprawnienia Sędziego Prowadzącego są następujące: 10. Przeprowadzanie głosowania Sędziów Bocznych w przypadku remisu, a jeśli to konieczne głosowanie własne (HANTEI) w celu rozstrzygnięcia remisu. 11. Ogłaszanie zwycięzcy"
"W przypadku remisu pod koniec nierozstrzygającej walki Skład Sędziowski (Sędzia Prowadzący i czterech Sędziów Bocznych) rozstrzygną walkę przez HANTEI.";0;"12.2.5 Indywidualne walki nie mogą być uznane za remis, z wyjątkiem zawodów drużynowych lub zawodów Round-Robin, kiedy walka kończy się równymi punktami lub brakiem punktów i żaden z Zawodników nie uzyskał SENSHU, w którym to przypadku Sędzia Prowadzący ogłosi remis (HIKIWAKE)."
"Kiedy skład sędziowski podjął decyzję niezgodną z Przepisami Zawodów, Kontroler Meczu (KANSA) natychmiast zagwiżdże w gwizdek.";1;"15.5.1 Kontroler Meczu (KANSA) będzie asystował Menadżerowi Tatami, nadzorując toczącą sięwalkę lub mecz. Jeżeli decyzje Sędziego Prowadzącego i/lub Sędziów Bocznych nie będązgodne z Przepisami Zawodów, Kontroler Meczu natychmiast zasygnalizuje togwizdkiem."
"Zawodnik nie może być karany za bycie przytkanym (utrata oddechu na skutek techniki) lub po prostu reagując na uderzenie nawet jeśli technika przeciwnika zasługiwała na punkt.";1;"8.7 Techniki na obszar CHUDAN mogą być wykonywane z kontrolowanym uderzeniem bez powodowania obrażeń u przeciwnika. Utrata oddechu przez odbiorcę ciosu sama w sobie nie oznacza braku kontroli."
"W meczach drużynowych nie ma dodatkowej walki.";0;"12.4 Ustalanie zwycięzcy grupy i rozstrzyganie remisów w konkurencji Drużynowej - 9) Dodatkowa walka między jednym z członków każdej drużyny – jeśli konieczne decydowana przez HANTEI"
"Tylko pierwsza prawidłowo wykonana technika z kombinacji będzie punktowana.";0;"8.3 Tylko pierwsza prawidłowo wykonana technika z wymiany będzie punktowana, zwyjątkiem skutecznej kombinacji technik, w którym to przypadku liczy się technika znajwyższą wartością punktową, niezależnie od kolejności technik w kombinacji."
"Zawodnicy, którzy zjawiają się na polu walki w nieautoryzowanym sprzęcie lub nieprzepisowym Karate Gi otrzymają jedną minutę na poprawę stroju.";0;"2.2.22 Zawodnicy, którzy pojawiają się na polu walki w nieprzepisowym stroju, otrzymają dwie minuty czasu na uporządkowanie stroju."
"Zawodnikom, którzy są przytkani jako rezultat uderzenia należy dać czas na złapanie oddechu przed wznowieniem walki.";1;""
"JODAN jest opisany jako barki i obszar powyżej kości obojczykowej.";0;"8.4 Obszary punktacji to ciało powyżej miednicy, aż do obojczyka włącznie (CHUDAN), z wyłączeniem samych barków oraz obszar powyżej obojczyka (JODAN)."
"IPPON jest przyznawany za kopnięcia JODAN oraz dowolne techniki na przeciwniku, którego jakakolwiek część ciała inna niż stopy jest w kontakcie z TATAMI.";0;"8.6. IPPON (3 punkty) jest przyznawane za kopnięcia JODAN lub jakąkolwiek technikę wykonaną na przeciwniku, którego jakakolwiek część ciała inna niż stopy ma kontakt z matą – z wyjątkiem Hiza-Gamae (Jedno kolano dotykające maty podczas wykonania techniki)"
"HANSOKU-CHUI będzie przyznane za udawanie kontuzji.";0;"10.4.5 Udawanie kontuzji: Każdy przypadek udawania kontuzji, nieważne jak lekki, otrzyma minimalne ostrzeżenie CHUI, natomiast oczywisty pokaz udawania będzie powodował przyznanie HANSOKU CHUI. Poważniejsze udawanie, taka jak zataczanie się, upadek na podłogę, wstawanie i ponownie upadanie itd. będzie powodować bezpośrednio przyznanie SHIKKAKU. Jakiekolwiek udawanie kontuzji spowodowanej techniką, która w rzeczywistości została uznana przez sędziów za punkt, skutkuje co najmniej HANSOKU CHUI."
"HANSOKU będzie przyznane za pierwszy przypadek wyolbrzymiania kontuzji.";0;"10.4.5 Udawanie kontuzji: Każdy przypadek udawania kontuzji, nieważne jak lekki, otrzyma minimalne ostrzeżenie CHUI, natomiast oczywisty pokaz udawania będzie powodował przyznanie HANSOKU CHUI. Poważniejsze udawanie, taka jak zataczanie się, upadek na podłogę, wstawanie i ponownie upadanie itd. będzie powodować bezpośrednio przyznanie SHIKKAKU. Jakiekolwiek udawanie kontuzji spowodowanej techniką, która w rzeczywistości została uznana przez sędziów za punkt, skutkuje co najmniej HANSOKU CHUI."
"Utrata oddechu przez Zawodnika, który otrzymał uderzenie techniką CHUDAN wskazuje na brak kontroli.";0;"8.7 Techniki na obszar CHUDAN mogą być wykonywane z kontrolowanym uderzeniem bez powodowania obrażeń u przeciwnika. Utrata oddechu przez odbiorcę ciosu sama w sobie nie oznacza braku kontroli."
"Zawodnik może otrzymać HANSOKU bezpośrednio za wyolbrzymianie efektów kontuzji.";1;"10.4.4 Nadmierna reakcja na kontakt: Lekka nadmierna reakcja spowoduje przyznanie CHUI. Za oczywiste wyolbrzymianie będzie przyznane HANSOKU CHUI. Poważniejsze wyolbrzymianie, takie jak zataczanie się, upadek na podłogę, wstawanie i ponowne upadanie itd. może powodować otrzymanie HANSOKU bezpośrednio."
"Technika, nawet efektywna, wykonana po komendzie zatrzymania walki, nie będzie punktowana i może skutkować karą nałożoną na wykonującego.";1;"8.12 Technika jest nieważna, jeśli: 1. Jest wykonana po sygnale końca czasu walki lub po ogłoszeniu przez sędziego „YAME”."
" W zawodach kadetów kopnięcia JODAN mogą być wykonywane na „dotyk skóry” przy założeniu, że nie ma kontuzji.";1;"8.10 „Dotyk skóry” jest dozwolony w kategoriach dla Zawodników U18 (Juniorzy) i starsi (U21, Seniorzy). Dla kategorii wiekowych U16 (Junior Młodszy) dotyk skóry jest dozwolony tylko przy kopnięciach. Dotyk skóry definiuje się jako dotknięcie celu bez przekazywania energii do głowy lub ciała. Dla Zawodników U14 i młodsi żaden dotyk skóry jest dozwolony dla technik Jodan"
" Przed rozpoczęciem meczu lub walki Menadżer Tatami powinien sprawdzić karty medyczne zawodników.";0;""
" Jeśli występuje błąd w rozpisce zawodników i walczą niewłaściwi zawodnicy, to później nie może być to zmienione.";0;"3.7.8 Jeśli z powodu jakiegoś błędu w zapisie, walczyli niewłaściwi Zawodnicy, to bez względu na wynik - ta walka/mecz zostaje uznana/y za nieważną/y. W celu ograniczenia takich błędów, Kontroler Punktacji musi potwierdzić zwycięzcę do operatora technicznego natychmiast po rozegranej walce lub meczu."
" Technika efektywna wykonana w tym samym czasie, co sygnalizowany przez brzęczyk koniec walki, jest uznana za ważną.";1;"8.11 Prawidłowo wykonane techniki trafiające cel w momencie upłynięcia czasu są ważne."
" Jeśli zawodnik jest kontuzjowany i jest to uznane za jego własną winę (MUBOBI), Sędzia Prowadzący nie przyzna ostrzeżenia ani kary przeciwnikowi.";1;"Nie przyzna. Jeśli przyzna Kansa musi - 15.5.4 W następujących sytuacjach Kontroler Meczu zasygnalizuje gwizdkiem:Sędzia Prowadzący przyznaje punkt Zawodnikowi i MUBOBI drugiemu"
" KANSA nie ma głosu ani odpowiedzialności w sprawach osądu takich jak czy technika była do zaliczenia czy nie.";1;"15.5.5. KANSA nie ma prawa głosu ani władzy w sprawach decyzji, takich jak, czy punkt był ważny czy nie, chyba, że był błąd w stosowaniu przepisów."
" YUKO jest zawsze przyznawane za uderzenia TSUKI na plecy.";0;"YUKO (1 punkt) jest przyznawane za Tsuki (uderzenie proste ręką) lub Uchi (uderzenie okrężne ręką) w punktowany obszar"
" ” Dotyk skóry” jest dozwolony dla Zawodników w kategoriach 16 lat i wyżej.";1;"8.10 „Dotyk skóry” jest dozwolony w kategoriach dla Zawodników U18 (Juniorzy) i starsi (U21, Seniorzy). Dla kategorii wiekowych U16 (Junior Młodszy) dotyk skóry jest dozwolony tylko przy kopnięciach. Dotyk skóry definiuje się jako dotknięcie celu bez przekazywania energii do głowy lub ciała. Dla Zawodników U14 i młodsi żaden dotyk skóry jest dozwolony dla technik Jodan."
" Zawodnik, który nie jest posłuszny poleceniom Sędziego Prowadzącego otrzyma SHIKKAKU.";1;"10.3.1. SHIKKAKU może zostać przyznane, gdy Zawodnik nie wykonuje poleceń Sędziego Prowadzącego, działa złośliwie lub popełnia czyn godzący w prestiż i honor Karate"
" Kontroler Punktacji poleci Sędziemu Prowadzącemu zatrzymać mecz, jeśli zobaczy przekroczenie Przepisów Zawodów.";0;"Nie kontroler punktacji"
" Jeśli w kombinacji jedna technika zasługuje na YUKO, a druga zasługuję na karę, to oba będą przyznane.";0;"8.12 Technika jest nieważna, jeżeli: 4) Po którym następuje faul – z wyjątkiem JOGAI."
" ” Dotyk skóry” jest definiowany jako dotknięcie celu bez przekazania energii na głowę lub ciało.";1;"8.10. Dotyk skóry definiuje się jako dotknięcie celu bez przekazywania energii do głowy lub ciała."
" Nie jest możliwe zdobywanie punktów leżąc na ziemi.";0;"Jest możliwe"
" Zawodnik nie posiadający sprzętu zaaprobowanego przez WKF otrzyma dwie minuty na zmianę na sprzęt typu zaaprobowanego.";1;"2.2.25 Zawodnicy, którzy pojawiają się na polu walki w nieprzepisowym stroju, otrzymają dwie minuty czasu na uporządkowanie stroju."
" Zawodnik kontuzjowany w Kumite i wycofany na zasadzie 10 sekund nie może startować w konkurencji kata.";0;"11.2.4 Zasada 10 sekund: Każdy Zawodnik, który upadnie, zostanie rzucony lub powalony i nie stanie w pełni na nogach w ciągu dziesięciu sekund, jest uważany za niezdolnego do kontynuowania walki i zostanie automatycznie wycofany ze wszystkich konkurencji Kumite na tych zawodach"
" Kontuzjowany zawodnik, który został uznany przez Lekarza Zawodów za niezdolnego do walki, nie może już walczyć w tych zawodach.";1;"11.1.1 Kontuzjowany Zawodnik, który wygra walkę przez dyskwalifikację z powodu kontuzji, nie może ponownie walczyć w zawodach bez zgody lekarza zawodów."
" Jeśli zawodnik źle się zachowuje na polu walki po zakończeniu meczu lub walki, Sędzia Prowadzący nadal może przyznać SHIKKAKU.";1;"10.4.17 Niestosowanie się do instrukcji: Zawodnik, który odmówi wykonania poleceń Sędziego Prowadzącego lub wykaże utratę panowania nad sobą, automatycznie otrzyma SHIKKAKU. Kara ta może być nałożona przed, w trakcie lub po walce."
" Kontroler Meczu ma głos decydujący w przypadku SHIKKAKU.";0;"Nie kontroler Meczu"
" W meczach drużynowych mężczyzn, jeśli drużyna wygra trzy walki, to mecz uznaje się w tym momencie za skończony.";0;"12.5.4 W meczach drużynowych, gdy Drużyna wygrała wystarczającą liczbę walk lub zdobyła wystarczającą liczbę punktów, aby zostać uznanym zwycięzcą, wtedy mecz zostaje zakończony i dalsze walki nie będą miały miejsca, z wyjątkiem Round-robin gdzie wszystkie walki muszą być rozegrane."
" W meczach drużynowych kobiet, jeśli drużyna wygra dwie walki, to mecz uznaje się w tym momencie za skończony.";0;"12.5.4 W meczach drużynowych, gdy Drużyna wygrała wystarczającą liczbę walk lub zdobyła wystarczającą liczbę punktów, aby zostać uznanym zwycięzcą, wtedy mecz zostaje zakończony i dalsze walki nie będą miały miejsca, z wyjątkiem Round-robin gdzie wszystkie walki muszą być rozegrane."
" Jeśli zawodnik chwyta przeciwnika i nie wykonuje natychmiastowej techniki lub rzutu, to Sędzia Prowadzący zawoła” YAME”.";1;"7.10.W następujących sytuacjach Sędzia Prowadzący zawoła „YAME” i tymczasowo zatrzyma walkę: Gdy Zawodnik chwyta przeciwnika i nie wykonuje natychmiastowej techniki lub rzutu"
" Kiedy Sędzia Boczny nie jest pewny czy technika rzeczywiście dotarła do punktowanego obszaru, to może on sygnalizować punkt.";1;"8.13 Punkt może być zasygnalizowany, nawet jeśli Sędzia Boczny nie może zobaczyć faktycznego punktu uderzenia, jeśli sama technika jest wykonana prawidłowo i można zauważyć, że w oczywisty sposób nie było przeszkody w dotarciu techniki do celu."
" Zawodnik, który popełnia czyn, który godzi w prestiż i honor Karate-Do otrzyma HANSOKU.";0;"otrzyma Shikaku"
" Kiedy akcja zawodnika jest uznana za niebezpieczną i umyślnie narusza przepisy dotyczące zabronionego zachowania, to zawodnik otrzyma SHIKKAKU.";1;"10.3.1. SHIKKAKU może zostać przyznane, gdy Zawodnik nie wykonuje poleceń Sędziego Prowadzącego, działa złośliwie lub popełnia czyn godzący w prestiż i honor Karate"
" Prawidłowe techniki wykonane po sygnale końca walki są uznawane.";0;"8.12 Technika jest nieważna, jeśli: 1. Jest wykonana po sygnale końca czasu walki lub po ogłoszeniu przez sędziego „YAME”"
" Prawidłowe techniki wykonane w momencie lub po „WAKARETE” są uznawane.";0;"8.12 Technika jest nieważna, jeśli: 2. Wykonana w trakcie lub po „WAKARETE” przed wywołaniem „TSUZUKETE”"
" Punkt może być sygnalizowany nawet jeśli Sędzia Boczny nie może widzieć punktu trafienia.";1;"8.13 Punkt może być zasygnalizowany, nawet jeśli Sędzia Boczny nie może zobaczyć faktycznego punktu uderzenia, jeśli sama technika jest wykonana prawidłowo i można zauważyć, że w oczywisty sposób nie było przeszkody w dotarciu techniki do celu."
" Przy HANTEI, jeśli trzech sędziów Bocznych sygnalizuje zwycięstwo dla AKA, czwarty Sędzia Boczny sygnalizuje zwycięstwo dla AO, to Sędzia Prowadzący musi on przyznać zwycięstwo dla AKA.";1;"12.2.7 Decydując o wyniku walki przez głosowanie (HANTEI) na koniec nierozstrzygniętej walki, Sędzia Prowadzący przechodzi na granicę pola walki i woła „HANTEI”, po czym następuje dwutonowy sygnał gwizdkiem. Sędziowie Boczni sygnalizują swoje opinie, a Sędzia Prowadzący ogłasza zwycięzcę. Sędzia Prowadzący wskaże następnie zwycięzcę za pomocą sygnału ręką i komenda (AKA/AO NO KACHI), a także rozstrzygnie w ten sposób ewentualny remis."
" Pasywność nie może być przyznana komuś prowadzącemu na punkty lub przez SENSHU.";1;"10.4.15. Pasywności nie można udzielić podczas pierwszych lub ostatnich 15 sekund walki oraz zawodnikowi wygrywającemu w czasie walki (na punkty lub SENSHU)."
" Tylko Trenerowi wyznaczonemu do tej konkretnej walki wolno coachować i dawać wskazówki Zawodnikowi z miejsca przypisanego Trenerowi blisko pola walki.";1;"3.7.4 Do całego meczu Kumite może być wyznaczony tylko jeden Trener danej drużyny. Nie może się zmieniać Trener podczas walki kolejnego zawodnika z meczu"
" Jeśli zawodnik nie wraca do wyprostowanej postawy w ciągu 10 sekund, to Sędzia Prowadzący ogłosi  „KIKEN” i „KACHI” dla przeciwnika.";0;"11.2.4 Zasada 10 sekund"
" Jeśli zawodnik jest rzucony i ląduje częściowo poza polem walki, to Sędzia Prowadzący natychmiast zawoła „YAME”.";0;"7.10 Gdy jeden lub obaj Zawodnicy znajdują się poza obszarem pola walki, ale zwyjątkiem umożliwienia Zawodnikowi natychmiastowego zdobycia punktu na przeciwniku, który opuścił pole walki"
" Zawodnik nie może sygnalizować Trenerowi żądania zgłoszenia dla niego Video Review.";0;"9.1.6 Zawodnik może dyskretnie zasygnalizować Trenerowi prośbę, by zażądał Video Review"
" Zawodnicy powinni być badani przez lekarza na zewnątrz tatami.";1;"11.2.2 Jeśli jest to fizycznie możliwe, kontuzjowany Zawodnik powinien zostać skierowany pozamatę w celu zbadania i leczenia przez lekarza."
" KANSA zagwiżdże gwizdkiem, jeśli Sędziowie Boczni trzymają joystiki w niewłaściwych rękach.";1;"15.5.4 W następujących sytuacjach Kontroler Meczu zasygnalizuje gwizdkiem: 16. Sędzia Boczny trzyma flagi lub urządzenie elektronicznie w niewłaściwej ręce"
" Ochraniacze na zęby (szczęki) są obowiązkowe dla wszystkich zawodników Kumite.";1;"2.2.19 Sprzęt ochronny"
" Po rzucie Sędzia Prowadzący zezwala na maksimum dwie sekundy, w czasie których może być wykonana technika punktująca.";0;"7.6 Gdy jeden lub obaj Zawodnicy upadną lub zostaną rzuceni i żadnemu z Zawodników nie uda się natychmiast wykonać punktowanej techniki"
" Jeśli zawodnik punktuje mocnym kopnięciem bocznym, które wypycha zawodnika z pola walki, to  Sędzia Prowadzący powinien przyznać WAZA-ARI i dać przeciwnikowi ostrzeżenie lub karę za Jogai.";0;"10.4.13 Wyjście poza pole walki: JOGAI odnosi się do sytuacji, w której stopa Zawodnika lub jakakolwiek inna część ciała dotyka podłogi poza polem walki. Wyjątkiem jest sytuacja, gdy Zawodnik jest fizycznie wypchnięty lub rzucony poza pole walki przez przeciwnika lub opuszcza pole walki po zdobyciu punktu."
" Kiedy jest zgłaszany oficjalny protest, kolejne mecze muszą być opóźnione aż do podania wyniku protestu.";0;"13.1.5 Jeśli protest dotyczy Zawodników w toczącej się kategorii, następna runda, w której może uczestniczyć dany Zawodnik, musi zostać przełożona do czasu rozpatrzenia odwołania."
" Każdy Sędzia Boczny będzie usytuowany przy narożniku TATAMI.";0;"1.12 Każdy Sędzia Boczny (FUKUSHIN) będzie siedział w narożniku Tatami w strefie bezpieczeństwa."
" Gdy Sędzia Prowadzący przyznaje punkt za technikę, która spowodowała kontuzję Kontroler Meczu powinien zasygnalizować, żeby zatrzymać mecz.";0;"Nie powinien"
" Gdy Sędzia Prowadzący nie usłyszy gongu końca walki, to Sędzia operujący zapisem punktów powinien zagwizdać gwizdkiem.";0;"Nie sędzie operujący czasem - 15.5.5. W przypadku, gdy Sędzia Prowadzący nie usłyszy sygnału końca walki, Kontroler Punktacji gwiżdże gwizdkiem, nie KANSA"
" WAKARETE w celu przerwania klinczu może być ogłoszone w dowolnym momencie walki.";1;"WAKARETE - przerwanie klinczu - Aby przerwać klincz, używając tego samego gestu, który jest zwyczajowo stosowany przy zmuszaniu Zawodników do cofnięcia się z TATAMI, połączony z wydaniem komendy „WAKARETE”, by czasowo zatrzymać akcję bez zatrzymywania zegara. Zawodnicy muszą się rozdzielić – po czym wydawane jest polecenie „TSUZUKETE” na wznowienie akcji"
" Kiedy Sędzia Prowadzący chce przyznać SHIKKAKU, to może on zwołać Sędziów Bocznych na krótką konsultację.";1;"15.3.1 Uprawnienia Sędziego Prowadzącego są następujące: : 6. Ogłaszanie FUKUSHIN SHUGO (wezwanie Sędziów Bocznych), gdy w opiniiSędziego Prowadzącego jest konieczne przyznanie SHIKKAKU, lub mazastosowanie reguła 10 sekund, gdy lekarz chce przerwać walkę lubbezpośrednio przed przyznaniem HANSOKU"
" Kiedy zawodnik jest kontuzjowany w trakcie walki i wymaga pomocy lekarskiej otrzyma na to 3 minuty czasu, po których Sędzia Prowadzący zadecyduje, czy zawodnik zostanie ogłoszony za niezdolnego do walki, czy też będzie przyznane więcej czasu.";1;"11.2.3 Zawodnik, który jest kontuzjowany podczas trwającej walki i wymaga pomocy medycznej, będzie miał trzy minuty na jej otrzymanie. Menadżer Tatami jest odpowiedzialny za poinstruowanie osoby mierzącej czas o uruchomieniu odliczania 3 minut. Jeśli leczenie nie zostanie zakończone w wyznaczonym czasie, Sędzia Prowadzący zdecyduje, czy Zawodnik zostanie uznany za niezdolnego do walki, czy też zostanie przedłużony czas leczenia."
" Zawodnik, który wychodzi poza pole walki (JOGAI) w sytuacji, gdy do końca walki pozostało mniej niż 15 sekund, otrzyma minimum CHUI.";0;"10.4.16 Unikanie walki w ciągu ostatnich 15 sekund walki (ATO SHIBARAKU) powoduje przyznanie co najmniej HANSOKU CHUI i utratę SENSHU. "
" Aby skorygować werdykt przyznania punktu niewłaściwemu zawodnikowi, Sędzia Prowadzący powinien zwrócić się w kierunku zawodnika, któremu błędnie przyznał punkt, wykonać gest TORIMASEN i potem przyznać punkt przeciwnikowi.";1;"TORIMASEN Anulowanie Anulowanie decyzji. Sędzia Prowadzący krzyżuje ręce ruchem w dół"
" Jeśli zawodnik punktuje dobrze kontrolowanym CHUDAN Geri, a potem przypadkowo uderza przeciwnika w twarz powodując lekką kontuzję, powinny być przyznane WAZA-ARI i ostrzeżenie.";0;"8.12 Technika jest nieważna, jeżeli: 4) Po technice następuje faul – z wyjątkiem JOGAI."
" Kiedy kontuzjowany zawodnik otrzymywał pomoc lekarską i oficjalny lekarz mówi, że zawodnik może kontynuować walkę, to Sędzia Prowadzący nie może zmienić decyzji lekarza.";1;"11.1.1 Kontuzjowany Zawodnik, który wygra walkę przez dyskwalifikację z powodu kontuzji, nie może ponownie walczyć w zawodach bez zgody lekarza zawodów."
" Sędzia Prowadzący może zatrzymać walkę nawet jeśli Sędziowie Boczni nic nie sygnalizują.";1;"15.3.1 Uprawnienia Sędziego Prowadzącego"
" Po ogłoszeniu WAKARETE przez Sędziego Prowadzącego Trenerom nie przysługuje prawo zgłoszenia Video Review.";1;"14.15 Kiedy jest ogłoszone WAKARETE przez Sędziego Prowadzącego, Trenerzy nie mająmożliwości zgłaszania Video Review, chyba że technika wystąpiła zanim WAKARETEbyło ogłoszone."
" „Unikanie walki” odnosi się do sytuacji, w której zawodnik usiłuje przeszkodzić przeciwnikowi w uzyskaniu sposobności do uzyskania punktu poprzez zachowanie marnujące czas.";1;"10.4.16 Unikanie walki odnosi się do sytuacji, w której Zawodnik usiłuje uniemożliwić przeciwnikowi zdobycie punktów poprzez zachowanie marnujące czas, takie jak ciągłe wycofywanie się bez skutecznej kontry, trzymanie, klincz lub opuszczenie pola walki, zamiast dać przeciwnikowi szansę na zdobycie punktu. Unikanie walki w ciągu ostatnich 15 sekund walki (ATO SHIBARAKU) powoduje przyznanie co najmniej HANSOKU CHUI i utratę SENSHU."
" Gdy pozostało mniej niż 15 sekund do końca walki nie jest używane TSUZUKETE, chyba że nastąpiłoby po uprzednim WAKARETE.";1;"10.1.4 TSUZUKETE, o ile nie zostało poprzedzone WAKARETE, nie jest stosowane, jeśli do końcawalki pozostało mniej niż 15 sekund."
" Jeśli w meczach drużynowych dwóch zawodników kontuzjuje się wzajemnie i nie może kontynuować, a zdobycze punktowe są równe, to Sędzia Prowadzący ogłosi remis (HIKIWAKE).";0;"11.3.1 Jeśli dwóch zawodników będzie kontuzjowanych lub cierpią z powodu skutków wcześniej odniesionej kontuzji i Lekarz Zawodów uzna ich za niezdolnych do kontynuowania walki, walka zostaje zdecydowana w taki sposób, jak gdyby upłynął pełny czas walki."
" Gdy jest mniej niż 15 sekund do końca walki i przegrywający Zawodnik, próbując desperacko wyrównać, wychodzi poza pole walki (JOGAI), to otrzyma minimum HANSOKU-CHUI.";1;"10.4.16 Unikanie walki odnosi się do sytuacji, w której Zawodnik usiłuje uniemożliwić przeciwnikowi zdobycie punktów poprzez zachowanie marnujące czas, takie jak ciągłe wycofywanie się bez skutecznej kontry, trzymanie, klincz lub opuszczenie pola walki, zamiast dać przeciwnikowi szansę na zdobycie punktu. Unikanie walki w ciągu ostatnich 15 sekund walki (ATO SHIBARAKU) powoduje przyznanie co najmniej HANSOKU CHUI i utratę SENSHU."
" Techniki, które trafiają poniżej pasa nie mogą być punktowane.";0;""
" Techniki, które trafiają w łopatkę, mogą być punktowane.";1;"8.4 Obszary punktacji to ciało powyżej miednicy, aż do obojczyka włącznie (CHUDAN), z wyłączeniem samych barków oraz obszar powyżej obojczyka (JODAN)."
" Jeśli AKA przypadkowo kopie AO w biodro i AO nie może kontynuować walki, wtedy AO otrzyma KIKEN.";0;"10.4.2 Kontakt powodujący kontuzję: Każda technika, które powoduje kontuzję, może spowodować ostrzeżenie lub karę, o ile nie jest spowodowana przez poszkodowanego. Zawodnicy muszą wykonywać wszystkie techniki z kontrolą i dobrą formą. Jeśli nie umieją, to niezależnie od źle użytej techniki, ostrzeżenie lub kara muszą zostać nałożone."
" Jeśli zawodnik ewidentnie łapie z trudem oddech z powodu braku wytrzymałości, to Sędzia Prowadzący powinien zatrzymać mecz, by dać mu czas na dojście do siebie.";0;"Nie ma informacji na ten temat w przepisach"
" Zawodnik, który uzyskuje przewagę 8 punktów zostaje ogłoszony zwycięzcą.";1;"12.2.1 Wynik walki jest ustanawiany przez Zawodnika, który uzyskał wyraźną przewagę ośmiu punktów"
" Gdy kończy się czas walki, Zawodnik, który uzyskał więcej punktów jest ogłoszony zwycięzcą.";1;"7.8 Kiedy czas się skończył, Zawodnik, który ma więcej punktów, zostaje ogłoszony zwycięzcą, co wskazuje Sędzia Prowadzący podnosząc rękę po stronie zwycięzcy i ogłaszając „AO (AKA) NO KACHI”. Walka kończy się w tym momencie"
" Skądinąd prawidłowo wykonana technika będzie penalizowana, jeśli zostanie wykonana w tym samym czasie co komenda WAKARETE.";0;"8.12. Technka jest nieważna, jesli 2. Wykonana w trakcie lub po „WAKARETE” przed wywołaniem „TSUZUKETE”"
" Występują dwa poziomy oficjalnych ostrzeżeń.";1;"10.2.1 Istnieją dwa poziomy formalnych ostrzeżeń CHUI i HANSOKU"
" CHUI jest przyznawany do trzech razy za mniejsze naruszenia przepisów.";1;"10.2.1 Istnieją dwa poziomy formalnych ostrzeżeń CHUI -ostrzeżenie jest przyznawane, maksymalnie trzykrotnie, za mniejsze wykroczenia, które nie zmniejszają szans na wygraną drugiego Zawodnika"
" HANSOKU-CHUI nie może być przyznane, jeśli zostały już przyznane trzy CHUI.";0;"10.2.1. HANSOKU CHUI jest przyznawane za poważniejsze ostrzeżenie przed dyskwalifikacją w przypadku dalszych wykroczeń wykroczenia, które zmniejszają szanse drugiego Zawodnika na wygraną, lub Zawodnikowi za dalsze wykroczenia, jeśli trzy CHUI zostały już przyznane"
" Ostrzeżenie lub kara za MUBOBI jest przyznawana tylko wtedy, gdy zawodnik jest uderzony lub kontuzjowany z własnej winy lub przez swoje zaniedbanie.";1;"10.4.14 Samo narażanie się: Ostrzeżenie lub kara za MUBOBI jest przyznawana, gdy Zawodnik jest uderzony lub kontuzjowany z własnej winy lub zaniedbania."
" Zawodnik, który jest uderzony z własnej winy i wyolbrzymia efekt powinien otrzymać ostrzeżenie lub karę za MUBOBI lub za wyolbrzymianie, ale nie za oba wykroczenia.";0;"Może za oba"
" Jeśli zawodnik wykonuje dobre kopnięcie na CHUDAN i przeciwnik łapie nogę, to punkt nie może być przyznany.";0;"10.4.9 Złapanie kopnięcia: Jedynym przypadkiem, w którym można wykonać rzut, trzymając przeciwnika obiema rękami, jest złapanie kopiącej nogi przeciwnika. Trzymanie się obiema rękami jest dozwolone tylko wtedy, gdy chwyta się kopiącą nogę przeciwnika w celu wykonania obalenia oraz trzymając się nogi przeciwnika, a druga ręka chwyta Karategi lub ciało przeciwnika, by powstrzymać upadek."
