Pytanie;Poprawna_odpowiedz;Wyjaśnienie
"Występuje 10 kryteriów w wykonaniu technicznym.";0;"Występuje 10 kryteriów oceny , a nie technicznych"
"Choć wykonanie techniki rzutu nożycowego (KANI BASAMI) na strefę szyi w wykonaniu BUNKAI jest zabronione, to rzut nożycowy na strefę ciała jest dozwolony.";1;"3.5.8 Chociaż wykonywanie techniki obalenia nożycami w okolice szyi (Kani Basami) podczas BUNKAI jest zabronione, to dozwolone jest obalenie nożycami na korpus lub nogi.5.8 Dyskwalifikacja : f. Wykonywanie techniki obalenia nożycami w okolice szyi w Bunkai (Jodan Kani Basami)"
"Wykonanie techniki rzutu nożycowego (KANI BASAMI) na strefę szyi w BUNKAI nie jest zabronione.";0;"3.5.8 Chociaż wykonywanie techniki obalenia nożycami w okolice szyi (Kani Basami) podczas BUNKAI jest zabronione, to dozwolone jest obalenie nożycami na korpus lub nogi.5.8 Dyskwalifikacja : f. Wykonywanie techniki obalenia nożycami w okolice szyi w Bunkai (Jodan Kani Basami)"
"Zawodnicy zejdą z pola walki po ukłonach najpierw „SHOMEN NI REI” i potem „OTAGAI NI REI”.";0;"6.12 Po ogłoszeniu zwycięzcy Zawodnicy lub Zespoły na sygnał „OTAGAI NI REI” kłaniają się sobie nawzajem, a na „SHOMEN NI REI” kłaniają się Sędziom i opuszczają Tatami."
"Sygnały dźwiękowe muszą być uznawane za bardzo poważny faul przez sędziów podczas oceny wykonania kata.";1;"5. Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lubteatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową,ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi)lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ichocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratęrównowagi."
"Protest może być zgłoszony do przedstawiciela Komisji Odwoławczej przez Trenera.";0;"7.1.2 Jeżeli procedura sędziowania wydaje się sprzeczna z przepisami, tylko Trener Zawodnika lubjego/jej oficjalny przedstawiciel mogą złożyć protest.7.1.5 Trener zwróci się z prośbą o oficjalny formularz protestu [ZAŁĄCZNIK 3] do Menadżera Tatami ioczekuje się, że zostanie on niezwłocznie wypełniony, podpisany i dostarczony do MenadżeraTatami wraz z odpowiednią opłatą w ciągu 5 minut od ogłoszenia zamiaru protestu7.1.10 Protest musi być złożony do przedstawiciela Komisji Odwoławczej przez Menadżera Tatami"
"Jest odpowiedzialnością Menadżera Tatami otrzymującego protest zebranie Komisji Odwoławczej i zdeponowanie wadium w WKF dla każdego odrzuconego protestu.";1;"7.3.1 Obowiązkiem Menadżera Tatami otrzymującego protest jest zebranie Komisji Odwoławczej izdeponowanie kwoty protestu w WKF za każdy odrzucony protest. "
"Każdy z trzech członków Komisji Odwoławczej jest zobligowany dać swój werdykt co do zasadności protestu. Nie są akceptowane wstrzymania się od głosu.";0;"7.4.1 Jeżeli protest zostanie uznany za nieuzasadniony, Komisja Odwoławcza wyznaczy jednego zeswoich członków, do ustnego powiadomienia protestującego o odrzuceniu protestu, oznaczyoryginalny dokument napisem „ODRZUCONY”, zapewni podpis każdego z członkówKomisji Odwoławczej i poinformuje protestującego o decyzji."
"W Para-Karate reklama na wózkach inwalidzkich może być ona umieszczona na jego oparciu.";0;"( strony 13) 4.4.13 Umieszczanie logo sponsora lub reklam jest zabronione w następujących miejscachwózka:a. oparcieb, osłony boczne lub podłokietniki c. podnóżek d. kółka e. rama"
"Jeśli protest jest przyjęty, Komisja Odwoławcza wyznaczy jednego ze swych członków, który ustnie powiadomi protestującego, że protest został przyjęty.";1;"7.4.2 W przypadku, gdy protest jest przyjęty, Komisja Odwoławcza wyznaczy jednego ze swoichczłonków, który ustnie powiadomi protestującego o przyjęciu protestu, opatrzy oryginalnydokument adnotacją „PRZYJĘTY” i zapewni, że zostanie on podpisany przez każdego zczłonków Komisji Odwoławczej przed złożeniem protestu u Sędziego Głównego i zwróceniemprotestu opłaty za protest."
"W zawodach Para-Karate występują trzy generalne kategorie zawodów: Zawodnicy z upośledzeniemwzroku, Zawodnicy z niepełnosprawnością intelektualną i Zawodnicy na wózkach inwalidzkich";1;"2.1.1 W zawodach Para Karate wykonywane jest wyłącznie Kata Indywidualne. Istnieją trzy ogólne kategorie Kata Indywidualnego w Para Karate:1. Zawodnicy z upośledzeniem wzroku (K10)2. Zawodnicy z upośledzeniem umysłowym - Zawodnicy z IQ poniżej 75 (K21)- Zawodnicy z zespołem Downa (K22)3. Zawodnicy z upośledzeniem fizycznym - Osoby na wózkach inwalidzkich (K30)"
"W Para-Karate protezy, laski, kule oraz inny sprzęt używany dla wspomagania fizycznego sądopuszczalne";0;"4.4.2 Akceptowanym wyposażeniem dodatkowym są opaski na oczy (klasa K10), okulary sportowe (klasy K21, K22 i K30), a w wózkach pasy na nogi (klasa K30). Protezy, laski, kule i inny sprzęt służący do wsparcia fizycznego nie są dozwolone w Zawodach iKlasyfikacji."
"Zawodnicy, których niepełnosprawności zostały sklasyfikowane jako nieuprawniające lub którzy zostali uznani za niespełniający kryteriów przepisów zawodów nie są uprawnieni do startu w ParaKarate WKF";1;"7.2. Załączniki pierwszy, drugi i trzeci do niniejszych Przepisów klasyfikacyjnych określają kwalifikujące się upośledzenie, jakie musi posiadać sportowiec, aby móc uczestniczyć w sporcie regulowanym przez WKF."
"Siedmiu sędziów przyzna swoje oceny w oparciu o ocenę wykonania Kata i poziom niezdolności zawodnika";0;"7.3.2 Punktacja kompensacyjna (punkty dodatkowe) przyznana przez Panel Klasyfikacyjny zostanie następnie dodana do punktacji sędziowskiej, aby uwzględnić wpływ niepełnosprawności zawodnika na wykonanie Kata (zgodnie z opisem w Regulaminie Klasyfikacji WKF Para Karate)."
"Zawody Para-Karate składają się zarówno z Kata jak i Kumite";0;"( strony 4) 2.1.1 W zawodach Para Karate wykonywane jest wyłącznie Kata Indywidualne. "
"Wózki inwalidzkie z kołami zapobiegającymi przewróceniu są dozwolone w zawodach Para-Karate";1;"4.4.7 Cechy wózka inwalidzkiego:Ze względów bezpieczeństwa dozwolone jest jedno lub dwa kółka zapobiegająceprzewróceniu się przymocowane z tyłu wózka inwalidzkiego. Można jeprzymocować do ramy lub tylnej osi i umieścić z tyłu wózka inwalidzkiego dowózka można dodać kółka, które często lub nawet stale stykają się z podłogą.Szerokość między kółkami musi być ograniczona do odległości między wewnętrznąstroną dwóch dużych kół. Gdy Zawodnik siedzi na wózki inwalidzkim w pozycjijazdy do przodu, maksymalna dopuszczalna odległość między dolną częścią kółka(kółek) a tatami wynosi 2cm. Kółka zabezpieczające przed przewróceniem niemogą wystawać poza płaszczyznę pionową, która styka się z najbardziejwysuniętymi do tyłu punktami kół napędowych. To wyrównanie należy oceniać,gdy wózek znajduje się w pozycji jazdy do przodu."
"Klasyfikacja w Para-Karate zawiera kompensację dodatkowymi punktami zależnie od wpływu poszczególnych niepełnosprawności na wykonanie kata";1;"2.1.2 Kategorie te są podzielone na Klasy Sportowe, zgodnie z funkcjonalną klasyfikacją niepełnosprawności Zawodnika (według Przepisów Klasyfikacji WKF Para Karate), a Punktacja Kompensacyjna w postaci Punktów Dodatkowych przyznawana jest zgodnie ze stopniemUpośledzenia."
"W Para-Karate Medyczne Formularze Diagnostyczne potwierdzają stosowność niepełnosprawności Zawodnika i są wraz z badaniem funkcjonalnym na zawodach narzędziem do dostarczenia dokładniejszej klasyfikacji Zawodnika";1;"11.5 Formularze rejestracyjne i wszystkie dokumenty uzupełniające, w tym medyczne formularze diagnostyczne (MFD – ang. MDF) i wszelkie formularze wyłączeń dla celówterapeutycznych (FWT – ang. TUE) zatwierdzone przez krajową organizacjeantydopingową, arkusz informacyjny badań przesiewowych Atlanto-Axial (tylko dlaZawodników z zespołem Downa), Formularz zgody na ocenę Zawodnika należy przesłać dointernetowego systemu rejestracji WKF.1. FWT muszą zostać wcześniej złożone i zatwierdzone przez odpowiednią krajowąorganizacje antydopingową przed przedłożeniem ich MenadżerowiAntydopingowemu WKF2. Aby zostać uznanym za uprawnionego do rywalizacji jako Zawodnik zupośledzeniem umysłowym, Zawodnik musi spełniać wszystkie międzynarodowekryteria kwalifikacyjne określone przez World Intellectual Impairment Sport(VIRTUS). Tylko Zawodnicy umieszczeni na głównej liście VIRTUS będą uprawnienido udziału w mistrzostwach WKF Para Karate oraz MistrzostwachUsankcjonowanych lub Promowanych przez VIRTUS. (Więcej informacji na tematprocesu kwalifikowalności można znaleźć w „Ubieganie się o przyznanie uprawnieńzawodnikom wytyczne VIRTUS”). Dotyczy to wyłącznie imprez i Mistrzostworganizowanych przez WKF."
"Wszyscy zawodnicy Para-Karate mogą nosić białe buty sportowe.";0;"Nie wymieniony jako akceptowalny sprzęt"
"W przypadku dodatkowego badania klasyfikacyjnego, kontroli dopingowej, pożaru lub z powodu innej potrzeby nadzwyczajnej ewakuacji, Trenerzy Narodowi są bezpośrednio odpowiedzialni za bezpieczne zabranie Zawodników.";1;"4.3.4 W każdym nieprzewidzialnym incydencie, takim jak dodatkowe badania klasyfikacyjne,kontrola antydopingowa, pożar lub inna konieczność ewakuacji, Trenerzy narodowi sąbezpośrednio odpowiedzialni za bezpieczne usunięcie Zawodników"
"W Para-Karate Zawodnicy z niepełnosprawnością intelektualną mogą wykonywać to samo Kata w każdej rundzie.";1;"7.2.6 Zawodnicy z kategorii z upośledzeniem umysłowym (Klasy Sportowe K21 i K22) mogąwykonać to samo Kata w każdej rundzie dlatego dozwolone jest powtarzanie Kata.Wszystkie inne Klasy Sportowe (K10, K30) muszą wykonać w każdej rundzie inne Kata –chyba, że Kata jest wykonywane jako rozstrzygające remis. Dozwolone są tylko Katawymienione na oficjalnej liście Kata."
"Zwierzęta usługowe tresowane i certyfikowane by wykrywać sytuacje zagrożenia życia nie mają wstępu na zewnętrzny obwód pola walki w Para-Karate.";0;"4.4.14.2 Zwierzęta asysty medycznej mogą towarzyszyć Zawodnikom na terenie zawodów,ale tylko zwierzęta przeszkolone i certyfikowane do wykrywania warunków zagrażającychżyciu będą mogły przebywać na zewnętrznym obwodzie Pola Walki, gdzie musząprzebywać bez powodowania zakłóceń. Zwierzęta asystujące nie mogą wchodzić na PoleWalki. Zwierzęta terapeutyczne, zwierzęta wsparcia emocjonalnego lub zwierzęta domowe,które nie są zwierzętami asysty medycznej, nie będą wpuszczane na obszar Pola Walkioraz jego otoczenie."
"Komisja Odwoławcza musi sporządzić prosty raport incydentu protestu, opisujący jej ustalenia i stwierdzić powody dla przyjęcia lub odrzucenia protestu.";1;"9.5.1 Po rozpatrzeniu incydentu w sposób opisany powyżej, Komisja Odwoławcza zbierze się ponownie i sporządzi prosty raport z incydentu protestu, opisujący jej ustalenia i podający powód(y) przyjęcia lub odrzucenia protestu."
"Na oficjalnej liście Kata jest 100 Kata.";0;"jest 102 Kata"
"Rozstrzygnięcie remisów w Para-Karate będzie przeprowadzane na podstawie Przepisów Kata WKF.";1;"7.5.1 Remisy rozstrzygane są w następujący sposób: 1. Zwycięzca, który uzyska najwyższą punktację, wliczając również najniższą punktację uzyskaną w wykonaniu dwóch Zawodników (wyniki podane przez 6 z 7 Sędziów). 2. Zwycięzca, który uzyska najwyższą punktację, wliczając zarówno najniższą, jak i najwyższą punktację uzyskaną w wykonaniu dwóch Zawodników (wyniki podane przez wszystkich 7 Sędziów). 3. Najwyższa pozycja w rankingu światowym w dniu zawodów. 4. Rzut monetą (losowy)"
"W Para-Karate Zwierzęta terapeutyczne lub zwierzęta wsparcia emocjonalnego mają wstęp na pole walki lub na jego obwód.";0;"4.4.14.2 Zwierzęta asysty medycznej mogą towarzyszyć Zawodnikom na terenie zawodów,ale tylko zwierzęta przeszkolone i certyfikowane do wykrywania warunków zagrażającychżyciu będą mogły przebywać na zewnętrznym obwodzie Pola Walki, gdzie musząprzebywać bez powodowania zakłóceń. Zwierzęta asystujące nie mogą wchodzić na PoleWalki. Zwierzęta terapeutyczne, zwierzęta wsparcia emocjonalnego lub zwierzęta domowe,które nie są zwierzętami asysty medycznej, nie będą wpuszczane na obszar Pola Walkioraz jego otoczenie."
"W Para-Karate jest dopuszczalne dla Zawodników z upośledzeniem wzroku noszenie opasek na oczy z logo lub oznaczeniami sponsorów lub producentów";0;"4.4.3.2 Opaski na oczy powinny być ciemnego i dyskretnego koloru (szary, niebieski, czarny) i niepowinny posiadać żadnych logo ani oznaczeń sponsorów lub producentów."
"W Para-Karate Paski do umocowania nóg u Zawodników na wózkach inwalidzkich muszą być białego koloru i bez logo.";1;"4.4.8 Dozwolone są paski na nogi do mocowania nóg Zawodników na wózkach inwalidzkich(K30). Muszą być koloru białego, bez logo i muszą być wykonane z materiału, które niejest elastyczny ani w inny sposób rozciągliwy. Można użyć maksymalnie trzech (3) pasów należy je umieścić między kostkami a biodrem. Mocowanie górnej części ciała jestniedozwolone."
"W Para-Karate System kompensacji wyniku za pomocą Punktów Dodatkowych musi być przyznany przez Panel Sędziowski do wpływu jego/jej szczególnej niepełnosprawności *.";0;"7.3.2 Punktacja kompensacyjna (punkty dodatkowe) przyznana przez komisję klasyfikacyjną zostanie następnie dodana do punktacji sędziowskiej, aby uwzględnić wpływ niepełnosprawności zawodnika na wyniki w Kata (zgodnie z opisem w Regulaminie Klasyfikacji WKF Para Karate)."
"W indywidualnych zawodach Para-Karate występują trzy Klasy Sportowe.";1;"Klasy Sportowe: Kata ind. dla Zawodników zUpośledzeniem Wzroku  Kata ind. dla Zawodników zUpośledzeniem Umysłowym Kata ind. dla Zawodnikówz Upośledzeniem Fizycznym"
"Rywalizacja Zawodników z niepełnosprawnością wzrokową w Para-Karate jest podzielona na dwie kategorie.";1;"Zawody Kata składają się z indywidualnych prezentacji w oddzielnych kategoriach męskichi żeńskich"
"Klasy Sportowe Juniorów/Kadetów są rekomendowane dla rozwoju Para-Karate.";1;"2.3.2 Zajęcia sportowe dla juniorów/kadetów są zalecane w celu rozwoju parakarate."
"Opaski na oczy są wymagane podczas wykonania dla wszystkich zawodników z niepełnosprawnością wzrokową.";1;"Opaski na oczy są wymagane od wszystkich Zawodników z Upośledzeniem Wzrokupodczas wykonywania Kata."
"Zawodnicy z niepełnosprawnością umysłową będą wykonywać Kata na stojąco.";1;"Klasy K21 i K22 mogą wykonywać jedno kata. Kata musi być wykonywane nastojąco"
"Zawodnicy z niepełnosprawnością umysłową nie mogą powtarzać Kata. ";0;"Klasy K21 i K22 mogą wykonywać jedno kata. Kata musi być wykonywane nastojąco"
