Pytanie;Odp;Objasnienie
Zawodnicy zejdą z pola walki po ukłonach najpierw „SHOMEN NI REI” i potem „OTAGAI NI REI”.;F;6.12 (wkf) Po ogłoszeniu zwycięzcy Zawodnicy lub Drużyny na sygnał „OTAGAI NI REI” kłaniają się sobie i na „SHOMEN NI REI” kłaniają się Sędziom i opuszczają Tatami.
Sygnały dźwiękowe muszą być uznawane za bardzo poważny faul przez sędziów podczas oceny wykonania kata.;P;"5. Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lub teatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową, ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi) lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ich ocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratę równowagi."
Protest może być zgłoszony do przedstawiciela Komisji Odwoławczej przez Trenera.;F;"7.1.2 Jeżeli procedura sędziowania wydaje się sprzeczna z przepisami, tylko Trener Zawodnika lub jego/jej oficjalny przedstawiciel mogą złożyć protest. 7.1.5 Trener zwróci się z prośbą o oficjalny formularz protestu [ZAŁĄCZNIK 3] do Menadżera Tatami i oczekuje się, że zostanie on niezwłocznie wypełniony, podpisany i dostarczony do Menadżera Tatami wraz z odpowiednią opłatą w ciągu 5 minut od ogłoszenia zamiaru protestu 7.1.10 Protest musi być złożony do przedstawiciela Komisji Odwoławczej przez Menadżera Tatami"
Jest odpowiedzialnością Menadżera Tatami otrzymującego protest zebranie Komisji Odwoławczej i zdeponowanie wadium w WKF dla każdego odrzuconego protestu.;P;"7.3.1 Obowiązkiem Menadżera Tatami otrzymującego protest jest zebranie Komisji Odwoławczej i zdeponowanie kwoty protestu w WKF za każdy odrzucony protest."
Każdy z trzech członków Komisji Odwoławczej jest zobligowany dać swój werdykt co do zasadności protestu. Nie są akceptowane wstrzymania się od głosu.;P;"7.4.1 Jeżeli protest zostanie uznany za nieuzasadniony, Komisja Odwoławcza wyznaczy jednego ze swoich członków, do ustnego powiadomienia protestującego o odrzuceniu protestu, oznaczy oryginalny dokument napisem „ODRZUCONY”, zapewni podpis każdego z członków Komisji Odwoławczej i poinformuje protestującego o decyzji."
W Para-Karate reklama na wózkach inwalidzkich może być ona umieszczona na jego oparciu.;F;"( strony 13) 4.4.13 Umieszczanie logo sponsora lub reklam jest zabronione w następujących miejscach
 wózka:
 a) oparcie
 b) osłony boczne lub podłokietniki
 c) podnóżek
 d) kółka
 e) rama"
Jeśli protest jest przyjęty, Komisja Odwoławcza wyznaczy jednego ze swych członków, który ustnie powiadomi protestującego, że protest został przyjęty.;P;"7.4.2 W przypadku, gdy protest jest przyjęty, Komisja Odwoławcza wyznaczy jednego ze swoich członków, który ustnie powiadomi protestującego o przyjęciu protestu, opatrzy oryginalny dokument adnotacją „PRZYJĘTY” i zapewni, że zostanie on podpisany przez każdego z członków Komisji Odwoławczej przed złożeniem protestu u Sędziego Głównego i zwróceniem protestu opłaty za protest."
W zawodach Para-Karate występują trzy generalne kategorie zawodów: Zawodnicy z upośledzeniem wzroku, Zawodnicy z niepełnosprawnością intelektualną i Zawodnicy na wózkach inwalidzkich;P;"2.1.1 W zawodach Para Karate wykonywane jest wyłącznie Kata Indywidualne. Istnieją trzy ogólne kategorie Kata Indywidualnego w Para Karate:
 1. Zawodnicy z upośledzeniem wzroku (K10)
 2. Zawodnicy z upośledzeniem umysłowym - Zawodnicy z IQ poniżej 75 (K21)
 - Zawodnicy z zespołem Downa (K22)
 3. Zawodnicy z upośledzeniem fizycznym - Osoby na wózkach inwalidzkich (K30)"
"W Para-Karate protezy, laski, kule oraz inny sprzęt używany dla wspomagania fizycznego są dopuszczalne";F;"4.4.2 Akceptowanym wyposażeniem dodatkowym są opaski na oczy (klasa K10), okulary sportowe (klasy K21, K22 i K30), a w wózkach pasy na nogi (klasa K30). Protezy, laski, kule i inny sprzęt służący do wsparcia fizycznego nie są dozwolone w Zawodach i Klasyfikacji."
Zawodnicy, których niepełnosprawności zostały sklasyfikowane jako nieuprawniające lub którzy zostali uznani za niespełniający kryteriów przepisów zawodów nie są uprawnieni do startu w ParaKarate WKF;P;Jesli nie spełniają kryteriów - nie będą uprawnieni do startu w ParaKarate WKF Siedmiu sędziów przyzna swoje oceny w oparciu o ocenę wykonania Kata i poziom niezdolności zawodnika;F;  
Zawody Para-Karate składają się zarówno z Kata jak i Kumite;F;( strony 4) 2.1.1 W zawodach Para Karate wykonywane jest wyłącznie Kata Indywidualne.
Wózki inwalidzkie z kołami zapobiegającymi przewróceniu są dozwolone w zawodach Para-Karate;P;"4.4.7 Cechy wózka inwalidzkiego:Ze względów bezpieczeństwa dozwolone jest jedno lub dwa kółka zapobiegające
 przewróceniu się przymocowane z tyłu wózka inwalidzkiego. Można je
 przymocować do ramy lub tylnej osi i umieścić z tyłu wózka inwalidzkiego, do
 wózka można dodać kółka, które często lub nawet stale stykają się z podłogą.
 Szerokość między kółkami musi być ograniczona do odległości między wewnętrzną
 stroną dwóch dużych kół. Gdy Zawodnik siedzi na wózki inwalidzkim w pozycji
 jazdy do przodu, maksymalna dopuszczalna odległość między dolną częścią kółka
 (kółek) a tatami wynosi 2cm. Kółka zabezpieczające przed przewróceniem nie
 mogą wystawać poza płaszczyznę pionową, która styka się z najbardziej
 wysuniętymi do tyłu punktami kół napędowych. To wyrównanie należy oceniać,
 gdy wózek znajduje się w pozycji jazdy do przodu."
"Klasyfikacja w Para-Karate zawiera kompensację dodatkowymi punktami zależnie od wpływu poszczególnych niepełnosprawności na wykonanie kata";F;"2.1.2 Kategorie te są podzielone na Klasy Sportowe, zgodnie z funkcjonalną klasyfikacją niepełnosprawności Zawodnika (według Przepisów Klasyfikacji WKF Para Karate), a Punktacja Kompensacyjna w postaci Punktów Dodatkowych przyznawana jest zgodnie ze stopniem Upośledzenia."
W Para-Karate Medyczne Formularze Diagnostyczne potwierdzają stosowność niepełnosprawności Zawodnika i są wraz z badaniem funkcjonalnym na zawodach narzędziem do dostarczenia dokładniejszej klasyfikacji Zawodnika;P;"11.5 Formularze rejestracyjne i wszystkie dokumenty uzupełniające, w tym medyczne formularze diagnostyczne (MFD – ang. MDF) i wszelkie formularze wyłączeń dla celów terapeutycznych (FWT – ang. TUE) zatwierdzone przez krajową organizacje antydopingową, arkusz informacyjny badań przesiewowych Atlanto-Axial (tylko dla Zawodników z zespołem Downa), Formularz zgody na ocenę Zawodnika należy przesłać do internetowego systemu rejestracji WKF.
 1. FWT muszą zostać wcześniej złożone i zatwierdzone przez odpowiednią krajową
 organizacje antydopingową przed przedłożeniem ich Menadżerowi
 Antydopingowemu WKF
 2. Aby zostać uznanym za uprawnionego do rywalizacji jako Zawodnik z
 upośledzeniem umysłowym, Zawodnik musi spełniać wszystkie międzynarodowe
 kryteria kwalifikacyjne określone przez World Intellectual Impairment Sport
 (VIRTUS). Tylko Zawodnicy umieszczeni na głównej liście VIRTUS będą uprawnieni
 do udziału w mistrzostwach WKF Para Karate oraz Mistrzostwach
 Usankcjonowanych lub Promowanych przez VIRTUS. (Więcej informacji na temat
 procesu kwalifikowalności można znaleźć w „Ubieganie się o przyznanie uprawnień
 zawodnikom wytyczne VIRTUS”). Dotyczy to wyłącznie imprez i Mistrzostw
 organizowanych przez WKF."
Wszyscy zawodnicy Para-Karate mogą nosić białe buty sportowe.;F;Nie wszyscy
W przypadku dodatkowego badania klasyfikacyjnego, kontroli dopingowej, pożaru lub z powodu innej potrzeby nadzwyczajnej ewakuacji, Trenerzy Narodowi są bezpośrednio odpowiedzialni za bezpieczne zabranie Zawodników.;P;"4.3.4 W każdym nieprzewidzialnym incydencie, takim jak dodatkowe badania klasyfikacyjne,
 kontrola antydopingowa, pożar lub inna konieczność ewakuacji, Trenerzy narodowi są
 bezpośrednio odpowiedzialni za bezpieczne usunięcie Zawodników"
W Para-Karate Zawodnicy z niepełnosprawnością intelektualną mogą wykonywać to samo Kata w każdej rundzie.;P;"7.2.6 Zawodnicy z kategorii z upośledzeniem umysłowym (Klasy Sportowe K21 i K22) mogą
 wykonać to samo Kata w każdej rundzie, dlatego dozwolone jest powtarzanie Kata.
 Wszystkie inne Klasy Sportowe (K10, K30) muszą wykonać w każdej rundzie inne Kata –
 chyba, że Kata jest wykonywane jako rozstrzygające remis. Dozwolone są tylko Kata
 wymienione na oficjalnej liście Kata."
Zwierzęta usługowe tresowane i certyfikowane by wykrywać sytuacje zagrożenia życia nie mają wstępu na zewnętrzny obwód pola walki w Para-Karate.;F;"4.4.14.2 Zwierzęta asysty medycznej mogą towarzyszyć Zawodnikom na terenie zawodów,
 ale tylko zwierzęta przeszkolone i certyfikowane do wykrywania warunków zagrażających
 życiu będą mogły przebywać na zewnętrznym obwodzie Pola Walki, gdzie muszą
 przebywać bez powodowania zakłóceń. Zwierzęta asystujące nie mogą wchodzić na Pole
 Walki. Zwierzęta terapeutyczne, zwierzęta wsparcia emocjonalnego lub zwierzęta domowe,
 które nie są zwierzętami asysty medycznej, nie będą wpuszczane na obszar Pola Walki
 oraz jego otoczenie."
Komisja Odwoławcza musi sporządzić prosty raport incydentu protestu, opisujący jej ustalenia i stwierdzić powody dla przyjęcia lub odrzucenia protestu.;P;9.5.1 Po rozpatrzeniu protestu w opisany powyżej sposób, Komisja Odwoławcza zbierze się ponownie i sporządzi prosty protokół z protestu, opisujący swoje ustalenia i podający powody przyjęcia lub odrzucenia protestu
Na oficjalnej liście Kata jest 100 Kata.;F;jest 102 Kata, patrz: ZAŁĄCZNIK 1: OFICJALNA LISTA KATA
Rozstrzygnięcie remisów w Para-Karate będzie przeprowadzane na podstawie Przepisów Kata WKF.;F;7.5.1 Remisy rozstrzygane są w następujący sposób, aby wyłonić zwycięzcę: 1. Ten, który uzyskał najwyższą notę, wliczając w to również najniższą ocenę, uzyskaną w występie pomiędzy dwoma Zawodnikami oceny wskazane przez 6 z 7 Sędziów). 2. Ten, który uzyskał najwyższą notę obejmującą zarówno najniższą, jak i najwyższą ocenę uzyskaną w prezentacji pomiędzy dwoma Zawodniami (oceny wskazane przez wszystkich 7 Sędziów). 3. Najwyższy Ranking Światowy w dniu zawodów. 4. Rzut monetą (wybór losowy). 
W Para-Karate Zwierzęta terapeutyczne lub zwierzęta wsparcia emocjonalnego mają wstęp na pole walki lub na jego obwód.;F;"4.4.14.2 Zwierzęta asysty medycznej mogą towarzyszyć Zawodnikom na terenie zawodów,
 ale tylko zwierzęta przeszkolone i certyfikowane do wykrywania warunków zagrażających
 życiu będą mogły przebywać na zewnętrznym obwodzie Pola Walki, gdzie muszą
 przebywać bez powodowania zakłóceń. Zwierzęta asystujące nie mogą wchodzić na Pole
 Walki. Zwierzęta terapeutyczne, zwierzęta wsparcia emocjonalnego lub zwierzęta domowe,
 które nie są zwierzętami asysty medycznej, nie będą wpuszczane na obszar Pola Walki
 oraz jego otoczenie."
W Para-Karate jest dopuszczalne dla Zawodników z upośledzeniem wzroku noszenie opasek na oczy z logo lub oznaczeniami sponsorów lub producentów;F;"4.4.3.2 Opaski na oczy powinny być ciemnego i dyskretnego koloru (szary, niebieski, czarny) i nie
 powinny posiadać żadnych logo ani oznaczeń sponsorów lub producentów."
W Para-Karate Paski do umocowania nóg u Zawodników na wózkach inwalidzkich muszą być białego koloru i bez logo.;P;"4.4.8 Dozwolone są paski na nogi do mocowania nóg Zawodników na wózkach inwalidzkich
 (K30). Muszą być koloru białego, bez logo i muszą być wykonane z materiału, które nie
 jest elastyczny ani w inny sposób rozciągliwy. Można użyć maksymalnie trzech (3) pasów,
 należy je umieścić między kostkami a biodrem. Mocowanie górnej części ciała jest
 niedozwolone."
W Para-Karate System kompensacji wyniku za pomocą Punktów Dodatkowych musi być przyznany przez Panel Sędziowski do wpływu jego/jej szczególnej niepełnosprawności *.;F;7.3.2 Punkty Kompensacyjne (Dodatkowe Punkty) wydane przez Komisję Klasyfikacyjną zostaną wówczas dodane do Punktów Sędziowskich, aby uwzględnić wpływ niepełnosprawności Zawodnika na wykonanie Kata (zgodnie z opisem w Przepisach Klasyfikacyjnych WKF Para Karate).
W indywidualnych zawodach Para-Karate występują trzy Klasy Sportowe.;F;Są trzy kategorie, ale cztery Klasy Sportowe (K10, K21, K22, K30)
Rywalizacja Zawodników z niepełnosprawnością wzrokową w Para-Karate jest podzielona na dwie kategorie.;F;Nie jest podzielona - 2.1.1. - 1. Zawodnicy z upośledzeniem wzroku (K10)
Klasy Sportowe Juniorów/Kadetów są rekomendowane dla rozwoju Para-Karate.;F; 
Opaski na oczy są wymagane podczas wykonania dla wszystkich zawodników z niepełnosprawnością wzrokową.;P;"Opaski na oczy są wymagane od wszystkich Zawodników z Upośledzeniem Wzroku
 podczas wykonywania Kata."
Zawodnicy z niepełnosprawnością umysłową będą wykonywać Kata na stojąco.;P;"Klasy K21 i K22 mogą wykonywać jedno kata. Kata musi być wykonywane na
 stojąco"
Zawodnicy z niepełnosprawnością umysłową nie mogą powtarzać Kata.;F;"Klasy K21 i K22 mogą wykonywać jedno kata. Kata musi być wykonywane na
 stojąco"
